"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",168,124,65,33,5,6,1014,461,2853,2666
"강동",117,117,35,42,4,3,672,604,2619,2574
"강북",92,82,78,72,5,7,698,629,2428,2416
"강서",137,117,43,40,16,15,1267,710,3186,3053
"관악",236,129,63,44,5,4,1628,663,3192,2960
"광진",149,130,77,49,7,7,1859,824,2784,2576
"구로",200,130,39,33,16,13,1218,559,3253,3102
"금천",80,72,33,24,5,6,982,595,2465,2293
"남대문",50,39,10,24,2,2,559,471,1042,1000
"노원",114,119,27,32,6,7,1374,1020,3111,3024
"도봉",77,72,24,19,10,9,872,509,1751,1752
"동대문",119,116,41,37,10,9,734,624,2985,2966
"동작",144,91,41,35,7,9,818,538,2162,2058
"마포",128,130,45,39,4,4,1264,560,2666,2378
"방배",62,34,16,23,1,2,274,265,848,853
"서대문",147,115,30,19,7,6,1397,663,2205,2085
"서부",47,52,15,32,3,4,635,335,1278,1270
"서초",151,99,69,34,2,2,841,479,2178,2009
"성동",88,87,33,54,5,5,973,809,2026,1949
"성북",88,57,29,19,5,4,692,358,1343,1287
"송파",160,158,47,46,8,6,1477,617,3532,3342
"수서",89,87,39,43,4,5,890,716,1931,1771
"양천",73,64,44,54,5,6,1055,622,2454,2274
"영등포",159,136,52,54,12,10,1336,828,3252,3119
"용산",81,77,40,20,9,8,626,542,1628,1586
"은평",56,64,20,19,3,3,830,463,1753,1666
"종로",67,56,22,26,7,7,547,377,1594,1377
"종암",44,52,23,30,6,4,469,371,1294,1250
"중랑",119,107,53,71,11,13,1050,1005,3160,3141
"중부",121,77,28,18,4,4,723,569,1909,1831
"혜화",117,75,19,9,5,6,472,584,1840,1848
