"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",325,223,16,9,6,6,2750,716,2916,2418
"강동",152,130,17,11,9,9,2546,722,2810,2362
"강북",202,170,16,18,2,2,1464,571,2336,2084
"강서",270,224,26,24,14,12,2638,949,3028,2395
"관악",374,209,24,17,7,6,3447,753,3385,2733
"광진",269,228,8,12,4,4,3124,1258,2730,2202
"구로",233,165,20,13,9,10,2436,663,2967,2329
"금천",138,108,16,14,6,5,1620,735,2180,1815
"남대문",65,46,10,7,1,1,1047,438,989,884
"노원",207,135,14,10,7,7,2316,801,2712,2274
"도봉",90,77,10,13,3,2,1535,584,1592,1357
"동대문",199,154,21,10,9,10,2130,554,2531,2163
"동작",215,118,10,6,6,6,2365,920,1829,1514
"마포",262,183,20,13,3,3,2387,662,2740,2226
"방배",55,37,6,4,1,1,763,215,645,535
"서대문",206,166,13,11,8,7,2087,807,1973,1674
"서부",70,60,5,6,4,5,967,343,1198,1005
"서초",224,158,10,8,1,1,2177,619,1861,1540
"성동",101,79,8,7,2,1,1614,510,1482,1260
"성북",91,75,5,4,3,2,1375,398,1274,1049
"송파",257,181,18,15,4,3,3915,836,3058,2368
"수서",130,94,15,10,6,6,1696,470,1817,1512
"양천",136,97,16,7,3,2,2032,643,2431,1823
"영등포",260,185,21,20,14,12,3200,912,3368,2733
"용산",182,153,23,13,4,5,1547,547,2125,1709
"은평",92,73,9,11,5,4,1431,571,1633,1369
"종로",117,95,5,5,2,1,1114,409,1235,1089
"종암",60,50,8,8,1,1,914,278,1036,857
"중랑",185,139,18,14,6,6,2052,732,2907,2516
"중부",128,91,6,7,0,0,1540,477,1454,1264
"혜화",89,55,6,3,2,1,1356,634,1175,1017
