"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",178,153,103,75,8,6,1271,764,3742,3571
"강동",97,89,63,60,7,7,999,779,2977,2977
"강북",81,80,46,41,15,15,729,527,2784,2699
"강서",109,88,84,81,8,7,1914,859,4213,3886
"관악",175,90,75,29,0,0,1697,620,2870,2617
"광진",137,109,72,71,10,10,1886,778,3762,3299
"구로",167,83,51,39,13,13,1559,743,3498,3165
"금천",102,101,86,41,16,14,1938,712,3974,3502
"남대문",40,42,18,18,1,2,637,361,980,973
"노원",100,112,13,14,5,5,1084,726,2391,2275
"도봉",88,80,39,37,4,3,892,562,2640,2498
"동대문",102,107,78,89,12,12,893,789,3339,3303
"동작",76,63,52,69,18,17,1974,419,2565,2261
"마포",87,74,78,66,24,9,2056,667,3045,2780
"방배",111,66,25,24,2,3,721,482,1563,1493
"서대문",85,74,52,36,5,4,1225,577,1899,1761
"서부",69,65,34,69,7,8,846,730,2190,2138
"서초",154,98,205,145,2,2,1220,787,2673,2469
"성동",68,55,49,40,5,5,999,509,2314,2231
"성북",67,50,39,23,6,5,962,820,1557,1481
"송파",68,55,62,58,6,6,927,500,2481,2340
"수서",66,53,45,33,6,5,1529,600,2600,2338
"양천",81,75,36,46,6,6,1489,536,2880,2577
"영등포",75,66,53,31,5,3,1100,723,2504,2382
"용산",73,69,49,35,8,8,997,593,1942,1813
"은평",56,59,24,26,5,5,848,484,1852,1772
"종로",55,42,20,21,1,0,581,700,1311,1232
"종암",90,69,22,35,7,6,939,740,2651,2567
"중랑",98,79,52,48,7,6,827,577,3838,3808
"중부",128,34,13,17,2,2,871,461,1383,1257
"혜화",91,53,22,16,7,6,583,705,1942,1868
