"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",300,225,15,12,3,3,2411,984,2465,2146
"강동",156,123,6,8,4,3,2366,789,2712,2248
"강북",153,126,14,13,7,8,1434,618,2649,2348
"강서",262,191,13,13,7,8,2096,1260,3207,2718
"관악",320,221,12,14,9,8,2706,827,3298,2642
"광진",240,220,14,26,4,4,3026,1277,2625,2180
"구로",281,164,15,11,8,6,2335,889,3007,2432
"금천",151,122,6,6,3,4,1567,888,2054,1776
"남대문",65,46,6,4,1,0,1153,382,869,794
"노원",197,121,7,7,10,10,2193,801,2723,2329
"도봉",102,106,9,10,3,3,1063,478,1487,1303
"동대문",173,146,13,13,5,5,1981,814,2548,2227
"동작",285,139,9,5,5,5,1865,661,1910,1587
"마포",294,247,14,10,8,8,2555,813,2983,2519
"방배",59,56,1,1,1,2,653,186,547,491
"서대문",154,124,5,4,2,2,1812,738,2056,1711
"서부",70,59,2,1,2,2,819,293,1192,1038
"서초",334,193,8,5,7,4,1982,905,1852,1607
"성동",126,119,9,8,4,4,1607,597,1612,1395
"성북",86,71,2,1,2,2,953,409,1194,1015
"송파",220,178,13,10,11,10,3239,1129,3295,2786
"수서",149,124,6,6,10,7,1439,666,1819,1559
"양천",120,105,6,3,3,5,1890,672,2509,2030
"영등포",295,183,22,20,14,12,2964,978,3572,2961
"용산",194,173,14,14,5,5,1557,587,2050,1704
"은평",96,82,7,5,1,1,1095,418,1461,1268
"종로",115,98,6,5,3,3,1070,413,1278,1070
"종암",64,53,3,3,3,3,832,332,1015,840
"중랑",187,148,11,9,13,12,2135,829,2847,2407
"중부",105,65,3,2,2,2,1395,477,1355,1170
"혜화",96,63,5,4,3,2,1114,424,1015,861
