"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",78,70,146,72,3,4,2653,523,4892,4345
"강동",62,58,49,40,12,11,1838,671,4716,4333
"강북",47,48,47,48,9,8,859,458,3624,3446
"강서",75,64,75,55,6,7,1559,509,4361,3988
"관악",59,44,56,36,8,7,1764,349,2921,2658
"광진",69,72,58,54,2,5,1738,697,4575,4379
"구로",55,53,35,37,10,10,982,345,3275,3056
"금천",66,63,73,58,10,9,1799,586,4808,4376
"남대문",26,23,13,7,3,3,451,273,1139,1132
"노원",40,32,19,18,3,3,741,334,2321,2231
"도봉",46,37,17,11,3,2,813,326,2778,2642
"동대문",72,65,69,59,5,6,849,529,4284,4206
"동작",67,60,53,28,13,13,1448,474,3367,3086
"마포",71,57,59,35,3,5,1295,416,3931,3678
"방배",44,31,23,19,1,1,746,226,1540,1425
"서대문",54,44,33,28,3,2,747,312,2391,2300
"서부",33,27,21,13,6,6,822,324,3032,2715
"서초",67,61,66,42,2,2,1079,431,2618,2538
"성동",39,36,27,21,10,10,1775,463,3198,2871
"성북",38,32,27,24,3,3,629,265,1877,1800
"송파",62,46,32,24,2,2,1672,404,3800,3224
"수서",31,29,52,35,3,3,1183,352,3351,2983
"양천",49,44,50,28,5,6,1383,419,2871,2611
"영등포",50,44,47,34,6,7,1101,348,3225,2965
"용산",41,39,52,36,5,4,1090,388,2667,2462
"은평",28,24,20,27,2,1,658,212,2223,2092
"종로",18,18,24,36,4,4,644,385,1886,1830
"종암",39,39,28,26,8,8,825,372,2959,2787
"중랑",74,69,82,43,13,12,1042,555,3887,3744
"중부",14,14,17,15,1,1,601,569,1783,1762
"혜화",40,41,30,24,3,3,1239,429,2631,2444
