"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",282,174,47,25,15,14,2442,711,3195,2747
"강동",191,142,36,31,7,6,2426,1011,3065,2532
"강북",168,128,30,18,7,6,1522,543,2689,2293
"강서",215,182,45,43,18,20,2776,861,3346,2748
"관악",361,222,54,36,19,17,2694,775,3826,3119
"광진",260,226,48,38,11,11,2418,1065,2867,2301
"구로",326,150,39,24,12,10,2014,984,3327,2804
"금천",107,89,30,24,14,14,1527,753,2399,1960
"남대문",62,50,7,9,1,2,984,461,1043,895
"노원",169,138,25,18,8,8,1723,890,2594,2234
"도봉",100,99,29,30,10,10,1418,375,1700,1440
"동대문",222,196,72,69,14,11,2046,931,2727,2313
"동작",249,84,22,12,5,6,1722,527,1932,1594
"마포",172,143,22,22,3,3,2105,647,2740,2275
"방배",40,35,11,7,2,2,565,234,643,562
"서대문",174,145,26,23,6,6,1879,702,1962,1604
"서부",71,75,7,17,4,4,909,376,1353,1086
"서초",283,147,28,15,7,4,1733,741,1866,1576
"성동",98,74,24,17,7,6,1376,467,1729,1456
"성북",99,59,10,8,5,3,904,425,1274,1066
"송파",292,209,54,38,6,5,4004,845,3735,2915
"수서",159,109,26,30,8,5,1780,422,2000,1516
"양천",131,89,29,25,4,4,2016,698,2627,2062
"영등포",221,163,53,40,18,19,2688,879,4143,3338
"용산",172,153,47,36,13,13,1592,555,2454,1967
"은평",82,73,21,13,10,8,1072,431,1617,1339
"종로",80,82,16,12,6,5,1001,534,1296,1090
"종암",75,65,17,15,4,4,971,382,1055,886
"중랑",204,186,46,55,10,10,1898,778,3771,3246
"중부",89,60,14,19,2,3,1266,457,1622,1369
"혜화",98,75,20,16,2,2,941,425,1464,1287
