"","구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"1","강남",339,269,24,26,3,3,2438,1129,2336,2096
"2","강동",160,152,14,13,4,5,1754,902,2530,2201
"3","강북",217,159,5,4,7,6,1222,672,2778,2482
"4","강서",275,239,10,10,9,10,1952,1070,3204,2768
"5","관악",322,264,12,10,6,7,2103,937,3235,2707
"6","광진",279,234,11,6,4,4,2636,1057,2392,2011
"7","구로",273,181,10,13,9,9,1910,861,3164,2680
"8","금천",175,143,7,7,6,6,1264,654,2193,1946
"9","남대문",57,52,5,4,1,1,946,429,890,832
"10","노원",159,142,6,9,5,6,1857,740,2516,2124
"11","도봉",123,121,5,5,3,3,866,492,1441,1309
"12","동대문",190,158,10,12,5,5,1940,1071,2642,2377
"13","동작",325,149,7,7,8,6,1226,554,1661,1444
"14","마포",399,320,4,7,4,4,2527,940,2939,2500
"15","방배",78,51,4,5,1,1,472,293,500,446
"16","서대문",175,147,5,4,6,7,1503,752,1976,1644
"17","서부",54,49,4,2,4,4,781,389,1128,980
"18","서초",350,220,9,5,4,4,1733,814,1838,1583
"19","성동",104,78,3,5,4,5,1296,896,1619,1408
"20","성북",103,75,3,3,2,2,790,381,1176,1004
"21","송파",234,184,15,12,9,8,2543,1048,3289,2808
"22","수서",177,144,15,16,2,2,1149,789,1666,1431
"23","양천",131,108,7,7,5,5,1719,755,2250,1918
"24","영등포",356,225,19,14,13,13,2341,940,3593,3007
"25","용산",251,214,9,10,4,4,1489,599,2384,2008
"26","은평",102,93,5,5,2,2,885,501,1536,1328
"27","종로",137,113,6,3,4,0,952,389,1291,1135
"28","종암",51,42,5,5,2,1,680,344,932,815
"29","중랑",164,150,14,14,8,7,1691,1052,3164,2712
"30","중부",141,96,3,3,2,2,1204,485,1335,1164
"31","혜화",101,64,6,6,2,2,988,379,972,842
