"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",117,90,139,146,7,10,2549,2074,3556,3455
"강동",64,60,234,237,6,6,1775,1088,3377,3145
"강북",66,59,121,151,9,8,2148,2104,2988,2714
"강서",64,56,206,203,5,5,2088,1218,3719,3493
"관악",126,67,82,105,4,3,2632,1058,3005,2704
"광진",113,74,168,155,6,8,3112,2026,4046,3578
"구로",126,53,68,84,6,6,2034,1247,2952,2622
"금천",68,54,112,96,15,14,2321,1465,3887,3456
"남대문",26,19,37,36,2,2,1057,862,1185,1110
"노원",48,44,30,49,3,4,1238,855,2526,2367
"도봉",57,49,45,47,2,2,1608,1015,3047,2769
"동대문",90,78,120,143,8,10,2074,2076,3448,3453
"동작",64,64,83,45,9,10,2348,2074,2384,2138
"마포",54,46,104,86,7,6,2873,1777,3374,3032
"방배",115,30,45,67,2,3,1207,676,1658,1492
"서대문",46,43,156,147,3,2,1812,1357,1765,1611
"서부",47,45,64,97,3,4,2045,1529,2330,2180
"서초",130,68,139,133,6,6,1405,1345,2187,2140
"성동",45,28,67,70,2,2,2087,2507,2462,2257
"성북",38,27,36,33,4,5,707,912,1549,1409
"송파",51,48,96,127,6,7,1596,1404,2873,2684
"수서",34,30,122,98,5,4,1694,1000,2693,2431
"양천",55,49,33,31,7,7,2215,1801,2882,2561
"영등포",54,49,76,63,8,9,2415,2226,2493,2261
"용산",55,46,105,127,14,12,1696,1400,2092,1788
"은평",22,21,33,38,5,6,1672,1182,2117,1917
"종로",36,34,33,32,3,3,754,590,1402,1256
"종암",53,53,99,102,2,4,1298,900,2408,2236
"중랑",72,58,96,110,11,13,2735,1671,4319,3814
"중부",70,20,46,50,0,0,1077,645,1296,1177
"혜화",94,38,45,41,5,6,1435,1059,1890,1753
