"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",373,288,19,17,8,4,2340,786,2685,2234
"강동",148,129,10,8,5,4,2425,827,2804,2317
"강북",189,152,21,10,6,5,1494,575,2320,2064
"강서",214,179,9,9,8,6,2341,734,2717,2297
"관악",361,238,25,22,7,8,3029,784,3359,2649
"광진",249,199,16,22,8,9,3167,1001,2828,2300
"구로",252,186,14,10,3,3,2377,579,2743,2207
"금천",162,133,9,6,7,7,1552,496,2112,1792
"남대문",78,56,5,5,3,3,1212,479,1001,893
"노원",173,136,8,7,5,4,2404,803,2722,2350
"도봉",172,159,11,15,6,7,1350,478,1585,1327
"동대문",141,112,13,8,12,11,1809,676,2388,2075
"동작",203,120,9,7,2,2,1787,603,1868,1580
"마포",265,218,22,9,4,4,2763,742,2686,2163
"방배",61,39,2,2,2,3,729,195,686,574
"서대문",185,150,4,7,3,3,1883,665,2119,1763
"서부",74,57,13,11,0,0,1010,365,1303,1065
"서초",224,145,12,10,4,6,2018,587,1820,1561
"성동",141,103,5,6,1,1,1753,529,1682,1409
"성북",93,77,7,5,6,3,1141,362,1215,1033
"송파",255,195,9,10,9,8,4199,885,3532,2884
"수서",139,115,18,12,5,5,1555,407,1709,1394
"양천",129,96,11,10,5,5,2058,630,2439,1913
"영등포",250,183,10,5,14,15,3080,892,3649,2977
"용산",213,169,7,7,1,2,1560,522,2018,1640
"은평",114,101,11,10,5,3,1342,433,1559,1280
"종로",122,90,6,3,3,2,975,371,1283,1114
"종암",72,51,9,15,2,2,989,573,1072,907
"중랑",163,118,14,11,11,10,2390,823,2775,2297
"중부",143,105,8,8,3,2,1364,408,1414,1229
"혜화",104,61,6,5,0,0,1297,695,1225,1087
