"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",260,147,63,44,12,11,2419,770,3073,2677
"강동",169,144,38,37,18,16,1970,1338,2835,2517
"강북",156,144,37,30,7,6,1381,602,2583,2311
"강서",225,192,58,66,7,8,2710,1394,3219,2790
"관악",403,234,57,53,13,13,2273,935,3404,2971
"광진",230,198,52,44,11,10,2504,1836,2735,2382
"구로",229,148,40,38,17,17,2259,1206,2901,2546
"금천",120,107,35,53,8,6,1522,925,1976,1727
"남대문",56,42,10,8,3,3,751,407,982,907
"노원",149,132,37,32,16,16,1531,1082,2635,2384
"도봉",87,80,17,18,5,6,1060,571,1638,1478
"동대문",157,153,57,69,13,13,1791,1161,2738,2469
"동작",272,101,36,27,8,9,1680,693,2073,1807
"마포",175,159,27,17,1,1,1685,824,2661,2418
"방배",80,49,10,12,2,1,483,363,658,582
"서대문",140,122,24,27,18,20,1739,992,2030,1780
"서부",83,79,12,8,7,8,775,534,1194,1065
"서초",268,122,34,21,9,7,1561,698,2059,1811
"성동",99,76,29,29,11,10,1360,895,1790,1550
"성북",89,57,18,17,9,9,1159,580,1265,1026
"송파",260,201,48,32,9,7,3447,1095,3659,3018
"수서",117,84,21,21,2,2,1584,604,1944,1646
"양천",109,107,34,23,9,10,1583,683,2164,1868
"영등포",244,197,74,57,34,32,2648,1246,3922,3416
"용산",131,120,40,35,9,8,1207,726,1936,1685
"은평",64,56,24,20,4,4,882,465,1514,1396
"종로",98,79,15,13,5,3,911,516,1289,1120
"종암",59,65,15,11,6,6,854,547,1081,974
"중랑",190,164,33,25,13,14,1745,924,3607,3267
"중부",117,70,16,11,5,5,1108,805,1743,1566
"혜화",103,84,18,18,2,2,804,617,1488,1339
