"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",109,65,153,116,13,18,3655,1109,4775,4082
"강동",59,59,62,80,9,11,1713,858,4215,3897
"강북",53,46,62,69,6,4,1494,1032,3625,3357
"강서",62,54,78,48,16,18,2088,800,4733,4185
"관악",133,61,63,37,3,2,2236,777,3200,2897
"광진",104,84,125,93,14,18,2389,1088,4710,4110
"구로",67,45,79,36,4,5,2466,1010,3457,2891
"금천",80,70,93,69,13,16,2315,941,4914,4273
"남대문",16,18,14,15,6,6,910,414,1364,1306
"노원",38,36,25,30,8,9,954,573,2527,2345
"도봉",37,31,33,17,3,2,1293,743,3115,2866
"동대문",76,81,48,33,11,10,1543,790,4390,4169
"동작",76,64,79,44,5,6,1484,860,3120,2803
"마포",73,53,89,34,3,3,3053,1902,3912,3532
"방배",146,32,51,40,6,6,1534,881,1900,1659
"서대문",69,47,51,48,2,3,1065,638,2611,2359
"서부",40,37,33,16,8,8,1491,643,2905,2767
"서초",171,44,145,62,3,6,2163,899,3237,2978
"성동",60,44,44,58,2,3,1441,616,3203,2892
"성북",50,35,22,22,2,1,771,698,1759,1619
"송파",50,41,42,47,5,5,1780,1008,3368,2876
"수서",48,43,64,35,4,5,1665,632,3164,2629
"양천",55,49,72,51,8,8,1963,1352,3345,2918
"영등포",76,61,54,36,7,9,1675,552,3470,3021
"용산",38,31,71,45,3,3,1845,1604,2519,2214
"은평",30,31,30,18,6,7,1005,569,2314,2004
"종로",37,35,14,41,3,3,779,540,2096,1903
"종암",55,36,41,50,10,12,941,577,2774,2580
"중랑",85,70,86,68,16,17,1839,846,4093,3594
"중부",80,22,17,6,0,0,1156,388,1647,1471
"혜화",113,51,33,26,4,4,1521,774,2529,2312
