"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",80,58,252,207,3,6,3744,2218,3787,3450
"강동",60,54,66,63,6,6,1666,1633,3255,2990
"강북",69,65,79,89,7,7,1847,1261,3035,2775
"강서",80,74,71,71,8,10,2504,1473,4134,3791
"관악",106,40,66,43,8,8,2625,1470,2915,2604
"광진",90,62,88,71,12,15,3607,2331,3749,3332
"구로",82,55,75,52,4,7,2417,1447,3158,2710
"금천",64,61,73,54,16,22,2061,1760,3864,3463
"남대문",20,19,26,25,2,3,1146,897,1090,1020
"노원",36,31,25,29,7,6,1220,928,2201,2051
"도봉",41,37,36,31,2,2,1790,1832,2735,2500
"동대문",72,63,71,55,8,8,2032,2186,3602,3461
"동작",43,36,56,24,10,8,2358,1876,2299,2088
"마포",60,57,144,177,4,6,2895,1977,3267,2877
"방배",107,39,63,49,4,5,1387,1194,1513,1318
"서대문",40,34,75,76,1,1,1748,1798,2083,1935
"서부",38,39,158,170,5,6,1761,1517,2187,2055
"서초",108,60,121,76,6,5,1912,1163,2552,2358
"성동",42,25,37,50,4,5,1563,1660,2234,2062
"성북",49,25,26,86,6,6,877,1557,1465,1368
"송파",43,41,54,76,6,6,1792,1438,2856,2521
"수서",47,32,52,56,7,8,2120,1156,2803,2449
"양천",49,46,75,74,6,7,2377,1793,3016,2679
"영등포",55,51,51,62,3,2,2723,2388,2636,2320
"용산",58,37,64,30,2,3,1837,2019,2049,1718
"은평",24,21,45,37,3,3,1638,1033,2050,1781
"종로",33,30,20,21,0,1,874,1102,1593,1471
"종암",51,50,52,49,5,5,1772,1745,2306,2091
"중랑",72,72,68,57,8,8,2627,2409,3992,3488
"중부",59,24,21,18,1,2,1205,810,1392,1341
"혜화",82,42,28,23,4,4,1574,1094,2019,1843
