"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",160,131,66,45,8,4,865,579,3117,2975
"강동",102,96,35,40,7,9,814,931,2791,2789
"강북",130,104,46,51,12,12,740,578,2373,2360
"강서",131,124,53,64,4,3,1358,751,3274,3058
"관악",236,136,87,73,13,10,1774,766,3693,3407
"광진",156,134,53,45,8,8,1862,918,2661,2435
"구로",188,102,52,52,19,19,1220,691,3364,3326
"금천",84,72,31,23,6,6,978,636,2400,2230
"남대문",39,38,16,8,0,1,653,366,1209,1185
"노원",128,121,40,26,11,10,1262,1053,3390,3329
"도봉",77,73,26,29,4,5,1059,574,1831,1735
"동대문",121,121,40,39,13,12,836,710,3296,3256
"동작",142,78,23,18,3,4,928,553,2107,2033
"마포",139,135,28,26,5,5,912,483,2947,2684
"방배",42,43,20,15,3,3,239,282,826,869
"서대문",121,122,21,17,4,5,1616,640,2475,2283
"서부",45,43,17,9,5,6,503,325,1179,1143
"서초",158,104,50,43,4,3,964,659,2223,2012
"성동",94,81,24,32,5,4,1006,781,1944,1859
"성북",66,44,23,19,4,5,629,439,1376,1332
"송파",152,129,65,52,8,9,1845,974,3893,3698
"수서",109,117,29,37,4,3,815,506,1881,1805
"양천",98,97,25,19,8,8,1001,751,2413,2235
"영등포",131,120,51,46,13,12,1446,819,4025,3892
"용산",114,89,24,27,9,7,734,583,1682,1635
"은평",72,66,20,27,6,6,798,460,1847,1759
"종로",65,47,29,16,5,4,581,341,1463,1266
"종암",48,52,17,14,8,9,477,396,1179,1158
"중랑",82,89,40,43,13,14,965,854,3282,3257
"중부",83,70,13,12,4,4,680,604,1937,1868
"혜화",71,57,12,12,2,2,394,596,1916,1966
