"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",193,138,92,59,10,8,1798,766,3116,2872
"강동",129,130,39,57,6,6,1110,1621,3103,3024
"강북",146,144,69,76,7,7,808,683,2492,2442
"강서",148,143,76,56,10,9,1591,1018,3497,3374
"관악",284,200,75,67,11,12,1718,897,3526,3290
"광진",186,160,54,64,11,11,1814,1096,2903,2659
"구로",212,144,55,70,16,14,1533,915,3192,3044
"금천",85,75,53,41,7,7,1319,1077,2269,2151
"남대문",52,51,15,21,2,4,683,715,1146,989
"노원",126,116,42,39,12,12,1263,1141,2898,2832
"도봉",100,107,27,34,7,7,950,562,1998,1910
"동대문",120,108,81,77,10,10,1350,1203,2909,2876
"동작",194,80,50,40,9,8,1247,637,2090,2011
"마포",132,125,29,24,5,4,1065,673,2817,2814
"방배",36,35,9,17,1,3,389,343,657,638
"서대문",153,148,67,82,9,11,2098,1434,2672,2520
"서부",54,54,31,37,4,4,660,654,1335,1294
"서초",151,103,69,44,10,7,1274,838,2037,1926
"성동",86,89,48,45,12,12,1321,987,2046,1948
"성북",93,78,24,20,3,4,768,554,1429,1386
"송파",185,149,83,68,8,8,1943,1161,3799,3588
"수서",86,80,38,41,7,6,1570,745,2201,1908
"양천",103,87,36,42,8,7,1359,928,2214,2090
"영등포",150,134,69,61,24,22,1584,984,3592,3459
"용산",95,82,44,49,11,11,1021,876,1916,1837
"은평",51,56,27,26,5,5,777,498,1731,1637
"종로",77,78,25,26,6,6,732,547,1364,1282
"종암",47,48,42,27,2,3,616,460,1205,1175
"중랑",130,129,74,62,15,14,1146,879,3418,3391
"중부",94,78,28,24,1,1,879,850,1858,1794
"혜화",58,51,38,29,1,1,780,578,1637,1571
