"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",255,164,27,18,6,4,2845,793,3128,2572
"강동",181,135,21,19,5,4,2531,758,2871,2363
"강북",153,126,23,23,3,3,1362,497,2727,2413
"강서",207,159,35,32,15,14,2825,1022,3056,2472
"관악",355,237,43,28,7,7,3067,854,3420,2757
"광진",246,198,27,28,6,7,2904,1258,3038,2442
"구로",236,120,25,16,9,9,2620,680,3239,2606
"금천",127,122,26,23,8,7,1656,702,2293,1928
"남대문",68,60,5,4,1,1,892,353,1116,984
"노원",166,131,12,9,2,2,2292,643,2783,2320
"도봉",79,76,14,13,8,8,1706,536,1795,1560
"동대문",166,125,26,15,11,10,2200,553,2779,2354
"동작",170,112,15,5,2,2,2012,470,1915,1582
"마포",224,161,16,12,4,4,2911,633,2957,2359
"방배",50,38,4,3,0,0,696,215,752,622
"서대문",191,173,15,18,7,8,2039,777,2120,1715
"서부",76,71,7,6,3,3,954,376,1246,1050
"서초",212,156,8,7,4,5,2015,615,1979,1636
"성동",114,84,11,11,3,3,1743,545,1715,1401
"성북",105,82,8,4,5,4,1226,364,1270,1056
"송파",260,196,25,16,11,10,4035,901,3463,2718
"수서",118,86,21,18,3,3,1820,464,1920,1519
"양천",127,84,16,11,5,4,1996,621,2372,1963
"영등포",237,199,27,19,18,18,3052,776,4049,3358
"용산",165,143,32,27,7,8,1517,602,2268,1894
"은평",116,92,15,8,4,4,1578,487,1672,1397
"종로",93,77,5,3,2,1,1036,344,1279,1079
"종암",56,46,10,7,4,4,976,375,1005,864
"중랑",185,144,32,29,9,9,2169,705,3483,2936
"중부",100,73,9,8,4,5,1497,421,1580,1361
"혜화",70,51,10,12,2,2,1264,610,1342,1164
